event,round,player,playerId,teamId,hole,shot,shotDistance_yds,distanceToPin_yds,shotDistance_m,distanceToPin_m,lieAfterShot,lieAfterShotCode,lieBeforeShot,lieBeforeShotCode,ballHoled,eventType,holeScore,timestamp,isProvisional,isBallDrop,x,z,seqNum,commentary,source,note
fedex-open-de-france-2026,1,Cam Smith,3968,46,1,1,272.4,165.2,249.11,151.05,Fairway,OFW,,,False,DetailedLie,,2026-09-24T11:26:11.000Z,False,False,432186.44121779,5400192.230791753,6,"Cam Smith (T92) finds the fairway with a 272-yard drive, leaving 165 yards to the hole on the first.",feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,1,2,157.8,7.9,144.3,7.2,Green,OGR,Fairway,OFW,False,DetailedLie,,2026-09-24T11:31:29.000Z,False,False,432074.5717155487,5400100.950399942,10,Smith's approach from the fairway leaves him 24 feet to the hole on the first.,feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,1,3,6.9,1.0,6.28,0.93,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-24T11:34:13.000Z,False,False,432071.3514038992,5400095.566044021,14,"Smith missed a 24-foot putt for birdie, leaving three feet for par on the first hole.",feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,1,4,1.0,,0.93,,,,,,True,BallHoled,Par,2026-09-24T11:34:22.000Z,False,False,432070.98158518085,5400094.7160602845,17,Smith sinks a three-footer for par on the first.,feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,2,1,203.7,5.5,186.25,5.05,Green,OGR,,OBU,False,DetailedLie,,2026-09-24T11:43:24.000Z,False,False,432210.93529204145,5400141.315831669,23,"Cam Smith (T45) leaves his approach 16 feet from the hole, gaining 0.47 strokes *approach*.",feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,2,2,5.7,0.2,5.2,0.16,Green,OGR,Green,OGR,False,DetailedLie,,2026-09-24T11:48:25.000Z,False,False,432207.6504685252,5400145.353252938,27,"Smith missed a 17-foot putt for birdie, leaving six inches for par on the second hole.",feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,2,3,0.2,,0.16,,,,,,True,BallHoled,Par,2026-09-24T11:48:34.000Z,False,False,432207.73889537714,5400145.224902926,30,Smith holed a short putt to make par on the second.,feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,3,1,293.3,258.7,268.23,236.52,Fairway,OFW,,,False,DetailedLie,,2026-09-24T11:59:53.000Z,False,False,432370.84091353085,5400064.72253363,36,"Cam Smith (T49) finds the fairway with a 293-yard drive, leaving 258 yards to the hole on the third.",feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,3,2,261.2,24.5,238.86,22.38,Rough,ORO,,,False,DetailedLie,,2026-09-24T12:09:14.000Z,False,False,432454.5329633546,5399841.194885034,40,"Smith's approach from the fairway finds the rough, leaving 24 yards to the hole.",feed,
fedex-open-de-france-2026,1,Cam Smith,3968,46,3,3,22.0,3.2,20.14,2.91,Green,OGR,Rough,ORO,False,DetailedLie,,2026-09-24T12:12:29.000Z,False,False,432435.2177398575,5399835.38939644,45,"Smith chips from the rough to ten feet, leaving a birdie opportunity on the third.",feed,
